Ant Index,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12,11,7,13,12,10,19,12,12,6,8,11,7,11,5,4,1
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,4,1,1,2,0,16,3,10,13,12,26,4,1,0,1,1,1,3,0,0,3,0,0,1,1,1,1,2,2,2,2,0,2,3,4,5,1,2,2,3,1,2,1
37,1,5,6,2,3,3,3,7,3,8,6,3,4,18,5,5,2,2,5,5,2,1,0,7,4,2,3,4,3,5,6,3,0,0,8,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,10,26,31,15,27,8
39,8,9,8,0,7,1,1,7,11,6,5,1,16,35,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19,31,22,34,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,8,49,24,20,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,3,8,9,15,12,16,6,6,2,6,8,9,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,5,4,2,2,0,1,5,6,8,3,11,9,0,14,4,4,1,2,2,0,0,0,0,0,11,0,2,1,0,3,2,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,26,42,21,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
